name,diet,meal_type,cal,fat,carb,protein
Cranberry Apple Granola Bites,balanced,breakfast,274,11,42,7
Whole Wheat Quinoa Flour Pancakes recipes,balanced,breakfast,233,7,32,9
Pumpkin French Toast Recipe,balanced,breakfast,156,5,21,8
Almond Butter Quinoa Granola recipes,balanced,breakfast,660,27,88,21
Cheesy Leftover Mashed Potato Pancakes r2,balanced,breakfast,123,6,15,4
Popovers recipes,balanced,breakfast,142,6,18,6
Cinnamon French Toast,balanced,breakfast,204,9,21,7
Healthy Chinese Food: 5 Must-Have Ingredients to Include in Your Diet,balanced,breakfast,205,7,29,5
Simple Spelt Pancakes recipes,balanced,breakfast,311,10,47,10
Savory Cheddar Bread,balanced,breakfast,122,5,14,5
whole wheat blueberry pancakes + the secre,balanced,breakfast,159,6,23,5
All you need to Know About Vegan Protein,balanced,breakfast,101,3,18,3
Triple Corn Quick Bread,balanced,breakfast,268,11,34,9
Cheesy Zucchini Protein Pancakes (Yum!),balanced,breakfast,214,10,24,9
Pumpkin Pie Pancakes recipes,balanced,breakfast,276,13,32,9
French Toast,balanced,breakfast,112,4,14,4
Oatmeal & Greek Yogurt Pancakes 0 recipes,balanced,breakfast,445,19,54,15
Crunchy Nut and Apple Oatmeal,balanced,breakfast,102,3,17,3
Apple & Peanut Butter Swirl Snack Squares,balanced,breakfast,317,13,44,9
Vegetarian Breakfast Pizza,balanced,breakfast,523,22,57,24
"Achari Jhinga Recipe, How to make Achari J",high-protein,breakfast,91,2,5,14
Sweet and Tangy Turkey,high-protein,breakfast,325,13,8,41
Uni Scrambled Eggs,high-protein,breakfast,130,7,1,17
Prawns Omelette 虾仁炒蛋,high-protein,breakfast,106,2,7,15
Protein Shake,high-protein,breakfast,87,1,7,13
The Works,high-protein,breakfast,107,4,4,14
Butternut Squash & Spinach Breakfast Bake recipes,high-protein,breakfast,56,0,6,7
Crayfish Bake Recipe,high-protein,breakfast,850,34,6,110
Homemade Ground Turkey Breakfast Sausage recipes,high-protein,breakfast,685,35,3,90
Chicken Parm Panini,high-protein,breakfast,213,7,9,27
Lemony Blueberry Mango Smoothie,high-protein,breakfast,195,3,18,25
Skinny Frappuccino,high-protein,breakfast,121,1,19,18
Turkey Breakfast Patties,high-protein,breakfast,177,7,3,25
Vietnamese Cha Tom recipes,high-protein,breakfast,189,8,6,25
A Pear Sunflower Smoothie,high-protein,breakfast,87,1,7,13
5 Ingredient Vegan Ricotta,high-protein,breakfast,182,9,7,23
